Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
85,52.5,0,0,171,106,18126,0,0,0,1.613208,144,115.022422,115.022422,740878.7793,560230.2988,56.133163,112.266326,71.300448,102.220443,26362.02542
64.904243,78.053848,27,45,104,106,3937,177.455093,1,0.016667,1.262295,144,51.793722,42.376682,64384.86438,65105.3351,24.86366,49.72732,41.03139,125.376932,6699.511563
65.091347,78.035019,27,45,104,106,3941,177.818008,2,0.033333,1.262295,144,51.793722,43.049327,64463.74368,66031.21068,24.87381,49.747619,41.03139,124.637877,6744.641673
64.947731,78.37075,27,45,104,106,3884,177.576614,3,0.05,1.262295,144,51.793722,43.049327,63315.21337,66031.21068,24.7252,49.450401,41.03139,124.637877,6744.641673
64.959572,78.371292,27,45,105,106,3908,176.690414,4,0.066667,1.278689,144,51.793722,43.049327,63969.67247,66031.21068,24.810099,49.620199,41.03139,124.637877,6744.641673
64.711678,78.333588,27,45,104,106,3888,177.527664,5,0.083333,1.262295,144,51.793722,42.376682,63384.53153,65105.3351,24.73422,49.468441,41.03139,125.376932,6699.511563
64.66375,78.314621,26,45,104,106,3884,176.646698,6,0.1,1.278689,144,51.793722,43.049327,63193.78706,66031.21068,24.709384,49.418769,41.03139,124.637877,6744.641673
64.62532,78.429314,27,45,103,106,3862,176.891495,7,0.116667,1.245902,144,51.121076,43.049327,62651.19313,66031.21068,24.638461,49.276922,41.03139,124.637877,6744.641673
64.491905,78.626106,27,46,103,106,3830,178.769958,8,0.133333,1.266667,144,51.121076,43.049327,62179.35155,63791.83552,24.576452,49.152905,40.358744,123.855026,6572.649757
64.851517,78.680588,27,46,104,106,3832,177.280441,9,0.15,1.283333,144,51.793722,43.049327,62305.08036,63791.83552,24.593006,49.186012,40.358744,123.855026,6572.649757
64.614632,78.87207,27,46,104,106,3799,178.3004,10,0.166667,1.283333,144,51.793722,43.721973,61525.60953,64716.8745,24.490018,48.980036,40.358744,123.114143,6618.490578
64.631088,78.870232,27,47,103,106,3776,177.87027,11,0.183333,1.288136,144,51.121076,43.049327,60930.19038,61609.82711,24.41076,48.821521,39.686099,123.051593,6403.500682
64.536957,78.972542,27,47,103,106,3788,178.449219,12,0.2,1.288136,144,51.121076,44.394619,61342.27493,63443.17311,24.465669,48.931337,39.686099,121.561507,6495.893034
64.433434,79.091148,27,47,103,106,3763,178.194595,13,0.216667,1.288136,144,51.121076,43.721973,60799.92003,62519.44878,24.393351,48.786702,39.686099,122.303881,6449.341503
64.590729,79.103119,27,47,103,106,3753,177.084824,14,0.233333,1.288136,144,51.121076,43.049327,60540.8135,61609.82711,24.35865,48.7173,39.686099,123.051593,6403.500682
